"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2024","5.200","5.320","5.320","5.170","1.32M","-2.26%"
"03/05/2024","5.320","5.230","5.370","5.208","1.45M","0.76%"
"03/04/2024","5.280","5.790","5.800","5.200","2.95M","-8.81%"
"03/01/2024","5.790","6.010","6.050","5.710","1.72M","-3.02%"
"02/29/2024","5.970","5.870","6.180","5.870","1.86M","1.88%"
"02/28/2024","5.860","5.650","5.930","5.500","1.91M","5.02%"
"02/27/2024","5.580","5.270","5.680","5.200","2.79M","7.72%"
"02/26/2024","5.180","5.080","5.220","4.950","1.88M","2.37%"
"02/23/2024","5.060","5.090","5.150","4.910","1.54M","-0.39%"
"02/22/2024","5.080","5.160","5.330","4.930","2.25M","-3.42%"
"02/21/2024","5.260","5.220","5.340","5.180","881.47K","0.96%"
"02/20/2024","5.210","5.450","5.450","5.150","1.43M","-4.58%"
"02/16/2024","5.460","5.430","5.580","5.380","1.47M","0.55%"
"02/15/2024","5.430","5.230","5.470","5.221","1.63M","4.02%"
"02/14/2024","5.220","5.210","5.230","4.900","1.89M","1.75%"
"02/13/2024","5.130","5.230","5.244","5.090","1.57M","-4.29%"
"02/12/2024","5.360","5.210","5.440","5.199","1.85M","2.10%"
"02/09/2024","5.250","5.310","5.360","5.210","1.21M","-1.13%"
"02/08/2024","5.310","5.300","5.390","5.270","1.00M","-0.75%"
"02/07/2024","5.350","5.410","5.430","5.275","1.30M","-0.74%"
"02/06/2024","5.390","5.250","5.390","5.240","2.44M","2.28%"
"02/05/2024","5.270","5.640","5.650","5.230","2.75M","-7.87%"
"02/02/2024","5.720","5.900","5.940","5.550","2.16M","-3.54%"
"02/01/2024","5.930","6.100","6.110","5.900","1.14M","-0.34%"
"01/31/2024","5.950","5.960","6.250","5.920","1.26M","-0.83%"
"01/30/2024","6.000","6.090","6.120","5.950","1.30M","-1.80%"
"01/29/2024","6.110","6.000","6.110","5.800","1.70M","2.86%"
"01/26/2024","5.940","6.120","6.120","5.930","1.07M","-2.94%"
"01/25/2024","6.120","5.900","6.160","5.900","1.56M","3.55%"
"01/24/2024","5.910","6.240","6.240","5.900","1.63M","-3.75%"
"01/23/2024","6.140","6.190","6.350","6.090","1.88M","-0.32%"
"01/22/2024","6.160","6.070","6.210","5.750","2.48M","2.67%"
"01/19/2024","6.000","5.600","6.230","5.530","3.02M","6.38%"
"01/18/2024","5.640","5.730","5.870","5.500","2.30M","-2.25%"
"01/17/2024","5.770","5.910","5.930","5.570","2.75M","-4.31%"
"01/16/2024","6.030","6.500","6.550","5.920","3.76M","-8.50%"
"01/12/2024","6.590","6.730","6.950","6.530","1.88M","-2.51%"
"01/11/2024","6.760","6.700","6.965","6.560","2.22M","0.60%"
"01/10/2024","6.720","6.610","6.740","6.430","2.50M","1.05%"
"01/09/2024","6.650","6.750","6.870","6.410","3.33M","-2.06%"
"01/08/2024","6.790","7.050","7.190","6.750","3.77M","-3.28%"
"01/05/2024","7.020","7.000","7.060","6.900","1.94M","-0.71%"
"01/04/2024","7.070","7.070","7.130","6.900","3.47M","-0.14%"
"01/03/2024","7.080","7.135","7.210","6.835","4.71M","0.43%"
"01/02/2024","7.050","8.040","8.050","7.000","6.67M","-15.77%"
"12/29/2023","8.370","8.560","8.560","8.080","2.82M","-3.13%"
"12/28/2023","8.640","8.410","8.780","8.400","2.97M","1.89%"
"12/27/2023","8.480","8.340","8.550","8.150","3.42M","1.19%"
"12/26/2023","8.380","8.000","8.520","7.980","3.49M","4.88%"
"12/22/2023","7.990","8.080","8.242","7.800","2.70M","-1.48%"
"12/21/2023","8.110","8.280","8.330","7.720","3.61M","2.14%"
"12/20/2023","7.940","7.950","8.740","7.800","6.43M","-0.75%"
"12/19/2023","8.000","7.750","8.050","7.510","4.02M","4.85%"
"12/18/2023","7.630","7.630","7.790","7.400","3.41M","-3.17%"
"12/15/2023","7.880","7.040","7.980","6.802","6.36M","13.54%"
"12/14/2023","6.940","6.980","6.980","6.700","3.23M","2.21%"
"12/13/2023","6.790","6.400","6.850","6.400","2.43M","4.46%"
"12/12/2023","6.500","6.720","6.720","6.370","2.52M","-3.27%"
"12/11/2023","6.720","7.090","7.100","6.600","2.89M","-1.90%"
"12/08/2023","6.850","6.800","6.955","6.680","2.68M","0.44%"
"12/07/2023","6.820","6.970","7.010","6.750","2.86M","-2.57%"
